Nombre;Ranking;Puntuacion;Comapanero;Posicion;LugarNacimiento;FechaNacimiento;Altura;Residencia;PartidosJugados;PartidosGanados;PartidosPerdidios;Rendimiento;Racha;2020_PartidosJugados;2020_PartidosGanados;2020_PartidosPerdidios;2020_Rendimiento;2020_Torneos ganados;2020_Finales;2019_PartidosJugados;2019_PartidosGanados;2019_PartidosPerdidios;2019_Rendimiento;2019_Torneos ganados;2019_Finales;2018_PartidosJugados;2018_PartidosGanados;2018_PartidosPerdidios;2018_Rendimiento;2018_Torneos ganados;2018_Finales;2017_PartidosJugados;2017_PartidosGanados;2017_PartidosPerdidios;2017_Rendimiento;2017_Torneos ganados;2017_Finales;2016_PartidosJugados;2016_PartidosGanados;2016_PartidosPerdidios;2016_Rendimiento;2016_Torneos ganados;2016_Finales;2015_PartidosJugados;2015_PartidosGanados;2015_PartidosPerdidios;2015_Rendimiento;2015_Torneos ganados;2015_Finales;2014_PartidosJugados;2014_PartidosGanados;2014_PartidosPerdidios;2014_Rendimiento;2014_Torneos ganados;2014_Finales;2013_PartidosJugados;2013_PartidosGanados;2013_PartidosPerdidios;2013_Rendimiento;2013_Torneos ganados;2013_Finales;Circuito;
Javier Ruiz González;11;4935;Uri Botello Cohen;Revés;Granada;17/06/1987;1,83;Granada;257;144;113;0.5603112840466926;7;18;10;8;0.5555555555555556;0;1;51;34;17;0.6666666666666666;0;2;53;36;17;0.6792452830188679;2;1;35;15;20;0.42857142857142855;0;0;40;22;18;0.55;1;1;23;4;19;0.17391304347826086;0;0;36;23;13;0.6388888888888888;0;0;1;0;1;0.0;0;0;Masculino;
Uri Botello Cohen;11;4935;Javier Ruiz González;Drive;Melilla;16/08/1988;1,72;Madrid;273;143;130;0.5238095238095238;5;18;10;8;0.5555555555555556;0;1;51;34;17;0.6666666666666666;0;2;53;36;17;0.6792452830188679;2;1;36;16;20;0.4444444444444444;0;0;33;15;18;0.45454545454545453;0;0;35;17;18;0.4857142857142857;0;2;24;10;14;0.4166666666666667;0;0;23;5;18;0.21739130434782608;0;0;Masculino;
Juan Mieres Petruf;13;4515;Álvaro Cepero Rodríguez;Drive;Bahía Blanca;30/10/1980;1,80;Madrid;355;252;103;0.7098591549295775;9;8;1;7;0.125;0;0;32;17;15;0.53125;1;1;51;35;16;0.6862745098039216;0;2;31;19;12;0.6129032258064516;0;0;44;29;15;0.6590909090909091;0;0;55;41;14;0.7454545454545455;1;3;52;42;10;0.8076923076923077;2;5;82;68;14;0.8292682926829268;4;10;Masculino;
Federico Chingotto;14;4240;Juan Tello;Drive;Buenos Aires - Arg;13/04/1997;1,70;Málaga;192;127;65;0.6614583333333334;10;27;19;8;0.7037037037037037;0;2;47;29;18;0.6170212765957447;0;1;43;28;15;0.6511627906976745;2;0;46;29;17;0.6304347826086957;0;0;29;22;7;0.7586206896551724;0;0;?;?;?;?;?;?;?;?;?;?;?;?;0;0;0;0;0;0;Masculino;
Juan Tello;14;4240;Federico Chingotto;Revés;Córdoba - Arg;01/02/1995;1,85;Málaga;163;108;55;0.6625766871165644;10;?;?;?;?;?;?;47;29;18;0.6170212765957447;0;1;36;25;11;0.6944444444444444;2;0;46;29;17;0.6304347826086957;0;0;29;22;7;0.7586206896551724;0;0;?;?;?;?;?;?;?;?;?;?;?;?;5;3;2;0.6;0;0;Masculino;
Adrián Allemandi;16;3218;Jerónimo González Luque;Drive;Neuquén;28/12/1980;1,78;Madrid;307;189;118;0.6156351791530945;4;17;9;8;0.5294117647058824;0;0;37;21;16;0.5675675675675675;0;1;35;16;19;0.45714285714285713;0;2;36;21;15;0.5833333333333334;0;0;47;32;15;0.6808510638297872;0;0;48;33;15;0.6875;0;1;44;31;13;0.7045454545454546;0;1;43;26;17;0.6046511627906976;0;0;Masculino;
Agustín Gómez Silingo;17;3165;Matías Díaz Sangiorgio;Revés;La Plata;01/08/1983;1,86;Madrid;261;150;111;0.5747126436781609;4;21;13;8;0.6190476190476191;0;0;38;21;17;0.5526315789473685;0;1;38;19;19;0.5;0;2;10;5;5;0.5;0;0;47;32;15;0.6808510638297872;0;0;43;28;15;0.6511627906976745;0;0;23;9;14;0.391304347826087;0;0;41;23;18;0.5609756097560976;0;0;Masculino;
Alejandro Ruiz Granados;18;3085;Pablo Lijó Santos;Drive;Málaga;12/06/1994;1,87;Madrid;258;128;130;0.49612403100775193;4;11;5;6;0.45454545454545453;0;0;44;25;19;0.5681818181818182;0;2;38;19;19;0.5;0;2;45;23;22;0.5111111111111111;0;2;40;23;17;0.575;1;1;31;16;15;0.5161290322580645;1;0;23;9;14;0.391304347826087;0;0;26;8;18;0.3076923076923077;0;0;Masculino;
Martín Sánchez Piñeiro;18;3085;Ignacio González Gadea;Revés;A Coruña;26/10/1992;1,84;Barcelona;259;133;126;0.5135135135135135;5;9;3;6;0.3333333333333333;0;0;44;25;19;0.5681818181818182;0;2;33;12;21;0.36363636363636365;0;0;43;22;21;0.5116279069767442;0;1;30;11;19;0.36666666666666664;0;0;59;40;19;0.6779661016949152;0;0;34;18;16;0.5294117647058824;0;0;7;2;5;0.2857142857142857;0;0;Masculino;
Luciano Capra;20;2475;Ramiro Moyano;Drive;Quilmes;16/09/1993;1,84;Madrid;262;136;126;0.5190839694656488;6;8;2;6;0.25;0;0;43;25;18;0.5813953488372093;1;0;43;25;18;0.5813953488372093;0;2;47;29;18;0.6170212765957447;2;0;37;19;18;0.5135135135135135;1;0;25;9;16;0.36;0;1;25;11;14;0.44;0;0;34;16;18;0.47058823529411764;0;0;Masculino;
Juan Cruz Belluati López;21;2305;Agustín Gutiérrez;Drive;Buenos Aires - Arg;20/10/1993;1,76;Madrid;265;153;112;0.5773584905660377;6;10;2;8;0.2;0;0;34;18;16;0.5294117647058824;0;1;43;27;16;0.627906976744186;0;2;51;31;20;0.6078431372549019;0;1;47;29;18;0.6170212765957447;0;0;38;19;19;0.5;0;0;37;24;13;0.6486486486486487;0;0;5;3;2;0.6;0;0;Masculino;
Javier Rico Dasi;22;2255;Jorge Nieto Ruiz;Drive;Valencia;15/05/1998;1,67;Valencia;220;133;87;0.6045454545454545;6;15;7;8;0.4666666666666667;0;0;39;21;18;0.5384615384615384;1;1;62;41;21;0.6612903225806451;0;0;63;44;19;0.6984126984126984;0;0;32;19;13;0.59375;0;0;5;0;5;0.0;0;0;4;1;3;0.25;0;0;0;0;0;0;0;0;Masculino;
Jorge Nieto Ruiz;23;2205;Javier Rico Dasi;Revés;Madrid;18/12/1998;1,75;Madrid;196;115;81;0.5867346938775511;6;15;7;8;0.4666666666666667;0;0;35;18;17;0.5142857142857142;1;1;59;40;19;0.6779661016949152;0;0;51;37;14;0.7254901960784313;0;0;19;7;12;0.3684210526315789;0;0;14;6;8;0.42857142857142855;0;0;3;0;3;0.0;0;0;?;?;?;?;?;?;Masculino;
Ramiro Moyano;24;2150;Luciano Capra;Revés;La Plata;25/10/1989;1,85;Madrid;263;141;122;0.5361216730038023;5;8;2;6;0.25;0;0;32;16;16;0.5;0;1;46;27;19;0.5869565217391305;0;2;41;23;18;0.5609756097560976;0;2;38;23;15;0.6052631578947368;0;0;46;30;16;0.6521739130434783;2;0;23;9;14;0.391304347826087;0;0;29;11;18;0.3793103448275862;0;0;Masculino;
Javier Garrido Gómez;25;2054;Javier Martínez Vázquez;Revés;Córdoba;26/10/2000;1,84;Madrid;168;92;76;0.5476190476190477;7;8;1;7;0.125;0;0;46;27;19;0.5869565217391305;0;0;39;19;20;0.48717948717948717;0;1;59;40;19;0.6779661016949152;0;0;11;4;7;0.36363636363636365;0;0;5;1;4;0.2;0;0;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Martín Di Nenno;26;2045;Maximiliano Sánchez;Drive;Ezieza - Bs As;18/03/1997;1,75;Buenos Aires;200;131;69;0.655;7;19;11;8;0.5789473684210527;0;0;45;27;18;0.6;0;0;12;5;7;0.4166666666666667;0;0;48;32;16;0.6666666666666666;0;0;0;0;0;0;0;0;48;36;12;0.75;1;0;16;12;4;0.75;0;0;12;8;4;0.6666666666666666;0;0;Masculino;
Miguel Lamperti;27;2030;Lucas Bergamini;Revés;Bahía Blanca;11/11/1978;1,80;Madrid;332;217;115;0.6536144578313253;4;14;7;7;0.5;0;0;29;14;15;0.4827586206896552;0;0;51;35;16;0.6862745098039216;0;2;41;25;16;0.6097560975609756;0;0;44;29;15;0.6590909090909091;0;0;48;33;15;0.6875;0;1;43;30;13;0.6976744186046512;0;0;62;44;18;0.7096774193548387;0;2;Masculino;
Lucas De Oliveira Campagnolo;28;1940;Juan Martín Díaz Martínez;Revés;Alegrete - Bra;13/06/1995;1,79;Porto Alegre - Bra;197;121;76;0.6142131979695431;6;14;8;6;0.5714285714285714;0;0;37;19;18;0.5135135135135135;1;0;42;22;20;0.5238095238095238;0;0;57;39;18;0.6842105263157895;0;0;3;2;1;0.6666666666666666;0;0;20;13;7;0.65;0;0;24;18;6;0.75;0;0;?;?;?;?;?;?;Masculino;
Pablo Lijó Santos;29;1907;Alejandro Ruiz Granados;Revés;Sta. Uxía de Ribeira;06/07/1991;1,85;Madrid;234;123;111;0.5256410256410257;6;12;4;8;0.3333333333333333;0;0;37;19;18;0.5135135135135135;1;0;45;26;19;0.5777777777777777;2;1;37;20;17;0.5405405405405406;1;1;34;17;17;0.5;0;0;33;14;19;0.42424242424242425;0;0;36;23;13;0.6388888888888888;0;0;0;0;0;0;0;0;Masculino;
Lucas Bergamini;30;1899;Miguel Lamperti;Drive;Bento Gonçalves - Brasil;18/08/1997;1,65;Madrid;154;94;60;0.6103896103896104;6;?;?;?;?;?;?;36;17;19;0.4722222222222222;0;0;42;22;20;0.5238095238095238;0;0;66;49;17;0.7424242424242424;0;0;0;0;0;0;0;0;10;6;4;0.6;0;0;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Cristian Gutiérrez Albizu;31;1820;Maximiliano Grabiel Martínez;Revés;Mar del Plata;06/05/1978;1,75;Madrid;329;219;110;0.6656534954407295;13;11;3;8;0.2727272727272727;0;0;31;15;16;0.4838709677419355;0;0;42;27;15;0.6428571428571429;1;2;48;34;14;0.7083333333333334;2;0;37;24;13;0.6486486486486487;0;2;40;25;15;0.625;0;0;53;39;14;0.7358490566037735;0;1;67;52;15;0.7761194029850746;2;4;Masculino;
Ernesto Moreno Carrasco;32;1744;José Rico Dasi;Revés;Málaga;19/11/1994;1,82;Torremolinos;250;116;134;0.464;6;11;3;8;0.2727272727272727;0;0;32;13;19;0.40625;0;0;43;23;20;0.5348837209302325;0;0;38;18;20;0.47368421052631576;0;0;27;9;18;0.3333333333333333;0;0;35;17;18;0.4857142857142857;0;0;30;17;13;0.5666666666666667;0;0;34;16;18;0.47058823529411764;0;0;Masculino;
Gonzalo Rubio Pérez;32;1744;Christian Fuster Simarro;Drive;Sevilla;22/02/1991;1,83;Sevilla;257;121;136;0.4708171206225681;7;10;2;8;0.2;0;0;32;13;19;0.40625;0;0;52;31;21;0.5961538461538461;0;0;38;18;20;0.47368421052631576;0;0;35;17;18;0.4857142857142857;1;0;44;25;19;0.5681818181818182;0;0;17;4;13;0.23529411764705882;0;0;29;11;18;0.3793103448275862;0;0;Masculino;
Álvaro Cepero Rodríguez;34;1532;Juan Mieres Petruf;Drive;San Fernando;26/04/1991;1,67;Madrid;243;109;134;0.448559670781893;6;11;3;8;0.2727272727272727;0;0;32;15;17;0.46875;1;0;38;18;20;0.47368421052631576;0;0;45;25;20;0.5555555555555556;1;0;33;15;18;0.45454545454545453;0;0;33;14;19;0.42424242424242425;0;0;18;4;14;0.2222222222222222;0;0;33;15;18;0.45454545454545453;0;0;Masculino;
Ignacio González Gadea;35;1502;Martín Sánchez Piñeiro;Drive;Madrid;31/12/1986;1,79;Madrid;226;93;133;0.41150442477876104;5;9;1;8;0.1111111111111111;0;0;28;10;18;0.35714285714285715;0;0;34;15;19;0.4411764705882353;0;0;48;28;20;0.5833333333333334;1;0;39;19;20;0.48717948717948717;0;0;32;14;18;0.4375;0;0;16;3;13;0.1875;0;0;20;3;17;0.15;0;0;Masculino;
Jerónimo González Luque;36;1413;Adrián Allemandi;Revés;Antequera;21/02/1997;1,80;Antequera;249;150;99;0.6024096385542169;5;17;9;8;0.5294117647058824;0;0;44;25;19;0.5681818181818182;0;0;55;35;20;0.6363636363636364;0;0;64;44;20;0.6875;0;0;44;27;17;0.6136363636363636;0;0;17;6;11;0.35294117647058826;0;0;8;4;4;0.5;0;0;0;0;0;0;0;0;Masculino;
Aday Santana Ferrero;37;1364;Miguel Semmler Arranz;Revés;Las Palmas;04/05/1978;1,79;Madrid;244;126;118;0.5163934426229508;3;8;1;7;0.125;0;0;31;12;19;0.3870967741935484;0;0;31;12;19;0.3870967741935484;0;0;31;16;15;0.5161290322580645;0;0;37;22;15;0.5945945945945946;0;0;39;24;15;0.6153846153846154;0;0;35;23;12;0.6571428571428571;0;0;32;16;16;0.5;0;0;Masculino;
José Rico Dasi;38;1362;Ernesto Moreno Carrasco;Drive;Valencia;21/09/1995;1,76;Valencia;216;105;111;0.4861111111111111;6;11;3;8;0.2727272727272727;0;0;26;8;18;0.3076923076923077;0;0;40;20;20;0.5;0;0;47;26;21;0.5531914893617021;0;0;41;24;17;0.5853658536585366;0;0;26;11;15;0.4230769230769231;0;0;25;13;12;0.52;0;0;0;0;0;0;0;0;Masculino;
Víctor Ruiz Remedios;38;1362;Diego Ramos;Revés;Cartagena;09/07/1989;1,79;Cartagena;258;139;119;0.5387596899224806;5;12;4;8;0.3333333333333333;0;0;26;8;18;0.3076923076923077;0;0;46;28;18;0.6086956521739131;1;1;32;12;20;0.375;0;0;45;26;19;0.5777777777777777;0;0;63;44;19;0.6984126984126984;0;0;27;15;12;0.5555555555555556;0;0;7;2;5;0.2857142857142857;0;0;Masculino;
Adrián Blanco Antelo;40;1340;Pedro Alonso-Martínez;Revés;Orense;29/07/1987;1,83;Valladolid;228;103;125;0.4517543859649123;7;10;2;8;0.2;0;0;37;18;19;0.4864864864864865;0;0;64;42;22;0.65625;0;0;16;5;11;0.3125;0;0;26;8;18;0.3076923076923077;0;0;23;7;16;0.30434782608695654;0;0;21;8;13;0.38095238095238093;0;0;31;13;18;0.41935483870967744;0;0;Masculino;
Javier Martínez Vázquez;41;1328;Javier Garrido Gómez;Drive;Valladolid;18/11/1996;1,74;Valladolid;239;139;100;0.5815899581589958;7;10;2;8;0.2;0;0;36;18;18;0.5;0;0;76;55;21;0.7236842105263158;0;0;49;31;18;0.6326530612244898;0;0;35;18;17;0.5142857142857142;0;0;31;15;16;0.4838709677419355;0;0;2;0;2;0.0;0;0;?;?;?;?;?;?;Masculino;
Javier González Barahona;42;1303;Jesús Moya Sos;Drive;Madrid;17/09/1998;1,79;Madrid;210;122;88;0.580952380952381;7;18;10;8;0.5555555555555556;0;0;37;18;19;0.4864864864864865;0;0;58;37;21;0.6379310344827587;0;0;59;42;17;0.711864406779661;0;0;22;8;14;0.36363636363636365;0;0;15;7;8;0.4666666666666667;0;0;1;0;1;0.0;0;0;?;?;?;?;?;?;Masculino;
Diego Ramos;43;1291;Víctor Ruiz Remedios;Drive;Chuy - Uruguay;10/04/1985;1,78;Valladolid;243;105;138;0.43209876543209874;4;10;3;7;0.3;0;0;31;12;19;0.3870967741935484;0;0;55;35;20;0.6363636363636364;0;1;36;15;21;0.4166666666666667;0;0;27;8;19;0.2962962962962963;0;0;28;9;19;0.32142857142857145;0;0;24;10;14;0.4166666666666667;0;0;32;13;19;0.40625;0;0;Masculino;
Maximiliano Grabiel Martínez;44;1290;Cristian Gutiérrez Albizu;Drive;La Plata;12/08/1976;1,68;Madrid;289;169;120;0.5847750865051903;12;11;3;8;0.2727272727272727;0;0;19;2;17;0.10526315789473684;0;0;34;17;17;0.5;2;0;40;22;18;0.55;0;2;38;23;15;0.6052631578947368;0;0;36;21;15;0.5833333333333334;0;0;49;37;12;0.7551020408163265;2;0;62;44;18;0.7096774193548387;0;2;Masculino;
José Antonio García Diestro;45;1214;Antonio Fernández Cano;Drive;Badajoz;01/09/1989;1,83;Badajoz;266;127;139;0.4774436090225564;6;12;4;8;0.3333333333333333;0;0;28;9;19;0.32142857142857145;0;0;38;17;21;0.4473684210526316;1;0;43;22;21;0.5116279069767442;0;1;35;16;19;0.45714285714285713;0;1;46;27;19;0.5869565217391305;0;0;26;12;14;0.46153846153846156;0;0;38;20;18;0.5263157894736842;0;0;Masculino;
Federico Quiles;46;1190;Javier Valdés González;Revés;General pacheco;19/01/1983;1,83;Madrid;229;107;122;0.4672489082969432;5;8;1;7;0.125;0;0;24;8;16;0.3333333333333333;0;0;26;7;19;0.2692307692307692;0;0;40;22;18;0.55;1;0;33;18;15;0.5454545454545454;1;0;34;19;15;0.5588235294117647;0;0;23;9;14;0.391304347826087;0;0;41;23;18;0.5609756097560976;0;0;Masculino;
Rafael Méndez Ruiz;47;1189;Sebastián Nerone;Revés;Jeréz de la Frontera;22/01/1992;1,97;Valladolid;291;170;121;0.584192439862543;5;10;3;7;0.3;0;0;31;12;19;0.3870967741935484;0;0;54;34;20;0.6296296296296297;0;1;65;44;21;0.676923076923077;0;0;38;20;18;0.5263157894736842;0;0;54;37;17;0.6851851851851852;0;0;31;17;14;0.5483870967741935;0;0;8;3;5;0.375;0;0;Masculino;
