Nombre;Ranking;Puntuacion;Comapanero;Posicion;LugarNacimiento;FechaNacimiento;Altura;Residencia;PartidosJugados;PartidosGanados;PartidosPerdidios;Rendimiento;Racha;2020_PartidosJugados;2020_PartidosGanados;2020_PartidosPerdidios;2020_Rendimiento;2020_Torneos ganados;2020_Finales;2019_PartidosJugados;2019_PartidosGanados;2019_PartidosPerdidios;2019_Rendimiento;2019_Torneos ganados;2019_Finales;2018_PartidosJugados;2018_PartidosGanados;2018_PartidosPerdidios;2018_Rendimiento;2018_Torneos ganados;2018_Finales;2017_PartidosJugados;2017_PartidosGanados;2017_PartidosPerdidios;2017_Rendimiento;2017_Torneos ganados;2017_Finales;2016_PartidosJugados;2016_PartidosGanados;2016_PartidosPerdidios;2016_Rendimiento;2016_Torneos ganados;2016_Finales;2015_PartidosJugados;2015_PartidosGanados;2015_PartidosPerdidios;2015_Rendimiento;2015_Torneos ganados;2015_Finales;2014_PartidosJugados;2014_PartidosGanados;2014_PartidosPerdidios;2014_Rendimiento;2014_Torneos ganados;2014_Finales;2013_PartidosJugados;2013_PartidosGanados;2013_PartidosPerdidios;2013_Rendimiento;2013_Torneos ganados;2013_Finales;Circuito;
Agustín Gutiérrez;59;880;Juan Cruz Belluati López;Revés;San Luis - Arg;07/01/1998;1,75;San Luís - Arg;129;87;42;0.6744186046511628;9;11;3;8;0.2727272727272727;0;0;68;52;16;0.7647058823529411;0;0;6;3;3;0.5;0;0;26;17;9;0.6538461538461539;0;0;17;12;5;0.7058823529411765;0;0;1;0;1;0.0;0;0;?;?;?;?;?;?;0;0;0;0;0;0;Masculino;
Marcello Jardim;60;869;Bastien Blanque;Drive;Santa María - Brasil;14/07/1973;1,86;Bilbao;231;99;132;0.42857142857142855;3;8;1;7;0.125;0;0;32;12;20;0.375;0;0;28;8;20;0.2857142857142857;0;0;41;21;20;0.5121951219512195;0;0;33;18;15;0.5454545454545454;0;0;34;15;19;0.4411764705882353;0;1;22;9;13;0.4090909090909091;0;0;33;15;18;0.45454545454545453;0;0;Masculino;
Germán Tamame;61;810;Víctor Saenz de Navarrete;Revés;Trenque Lauquen;12/01/1981;1,77;Puerto de Santa María;224;92;132;0.4107142857142857;5;11;4;7;0.36363636363636365;0;0;24;8;16;0.3333333333333333;0;0;29;10;19;0.3448275862068966;0;0;50;29;21;0.58;1;0;33;14;19;0.42424242424242425;0;0;24;5;19;0.20833333333333334;0;0;21;7;14;0.3333333333333333;0;0;32;15;17;0.46875;0;0;Masculino;
Aris Patiniotis;62;802;Miguel Yanguas Diez;Revés;Mar del Plata;12/11/1991;1,75;Madrid;209;113;96;0.5406698564593302;6;16;10;6;0.625;0;0;27;9;18;0.3333333333333333;0;0;25;13;12;0.52;0;0;28;9;19;0.32142857142857145;0;0;38;20;18;0.5263157894736842;0;0;54;37;17;0.6851851851851852;0;0;18;13;5;0.7222222222222222;0;0;3;2;1;0.6666666666666666;0;0;Masculino;
Francisco Gomes;63;778;Gonzalo Díaz;Drive;Porto Alegre - Bra;07/06/1981;1,80;Villanueva De La Cañada;229;100;129;0.4366812227074236;3;14;7;7;0.5;0;0;21;2;19;0.09523809523809523;0;0;26;8;18;0.3076923076923077;0;0;48;28;20;0.5833333333333334;0;0;37;18;19;0.4864864864864865;0;0;33;14;19;0.42424242424242425;0;0;23;10;13;0.43478260869565216;0;0;27;13;14;0.48148148148148145;0;0;Masculino;
Fernando Poggi;64;759;Francisco Javier Leal Perez;Revés;Buenos Aires;18/07/1976;1,95;Madrid;207;88;119;0.4251207729468599;3;10;4;6;0.4;0;0;22;7;15;0.3181818181818182;0;0;20;6;14;0.3;0;0;27;9;18;0.3333333333333333;0;0;31;14;17;0.45161290322580644;0;0;31;13;18;0.41935483870967744;0;0;23;9;14;0.391304347826087;0;0;43;26;17;0.6046511627906976;0;0;Masculino;
Francisco Manuel Gil Morales;64;759;Sergio Alba Sánchez;Drive;Córdoba - Esp;27/04/1996;1,80;Puente Genil;143;89;54;0.6223776223776224;8;?;?;?;?;?;?;60;41;19;0.6833333333333333;0;0;50;33;17;0.66;0;0;31;14;17;0.45161290322580644;0;0;2;1;1;0.5;0;0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Javier Valdés González;66;751;Juan Manuel Restivo;Drive;Santiago de Chile;27/06/1996;1,75;Santiago de Chile;201;134;67;0.6666666666666666;9;?;?;?;?;?;?;70;51;19;0.7285714285714285;0;0;49;31;18;0.6326530612244898;0;0;61;40;21;0.6557377049180327;0;0;15;9;6;0.6;0;0;6;3;3;0.5;0;0;?;?;?;?;?;?;?;?;?;?;?;?;Masculino;
Sergio Alba Sánchez;67;746;Francisco Manuel Gil Morales;Revés;Guadalajara;26/05/1990;1,78;Guadalajara;269;168;101;0.6245353159851301;8;19;11;8;0.5789473684210527;0;0;60;41;19;0.6833333333333333;0;0;52;33;19;0.6346153846153846;0;0;20;12;8;0.6;0;0;44;28;16;0.6363636363636364;0;0;41;24;17;0.5853658536585366;0;0;30;18;12;0.6;0;0;3;1;2;0.3333333333333333;0;0;Masculino;
Juan Manuel Vázquez;68;703;Andrés Britos;Revés;Quilmes - Arg;17/05/1985;1,80;Bilbao;244;107;137;0.4385245901639344;4;6;3;3;0.5;0;0;34;15;19;0.4411764705882353;0;0;41;20;21;0.4878048780487805;0;0;36;14;22;0.3888888888888889;0;0;28;9;19;0.32142857142857145;0;1;30;11;19;0.36666666666666664;0;0;36;21;15;0.5833333333333334;0;0;33;14;19;0.42424242424242425;0;0;Masculino;
